"TOA5","TL1","CR800","50097","CR800.Std.32.05","CPU:TL1.CR8","58857","data"
"TIMESTAMP","RECORD","BatV_Min","TL1_dir0","TL1_dir1","TL1_dir2","TL1_dir3","TL1_dir4","TL1_dir5","TL1_dir6","TL1_dir7","TL1_dir8","TL1_dir9","TL1_dirA","TL1_dirB","TL1_dirC"
"TS","RN","","","","","","","","","","","","","",""
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-02-08 14:53:00",0,12.59,24.42,24.83,24.31,25.24,24.74,24.45,25.8,25.6,24.7,25.04,26.04,24.62,24.61
"2024-02-08 14:54:00",1,12.6,24.5,25.51,24.48,25.51,24.82,24.5,26.2,25.88,24.75,25.39,27.19,24.72,24.84
"2024-02-08 14:55:00",2,12.6,24.68,25.67,24.55,25.74,24.9,24.63,26.93,26.09,24.94,26.29,27.33,24.88,24.9
"2024-02-08 14:56:00",3,12.6,24.78,25.91,24.66,25.99,24.98,24.78,26.84,26.34,25.02,26.54,27.43,24.96,24.92
"2024-02-08 14:57:00",4,12.6,24.83,26.14,24.75,26.14,25.07,24.84,27.17,26.46,25.1,26.68,27.57,25.03,25.05
"2024-02-08 14:58:00",5,12.6,24.72,25.71,24.65,25.9,25.02,24.75,26.52,26.25,24.96,25.57,27,24.92,25.03
"2024-02-08 14:59:00",6,12.6,24.61,25.73,24.53,25.62,25.01,24.61,26.68,25.94,24.96,26.14,27.11,24.86,24.98
"2024-02-08 15:00:00",7,12.6,24.53,26.19,24.4,25.32,24.92,24.51,27.07,25.67,24.89,26.87,27.82,24.89,25.04
"2024-02-08 15:01:00",8,12.6,24.38,25.98,24.3,25.13,24.84,24.41,27.08,25.38,24.75,26.4,27.5,24.74,24.94
"2024-02-08 15:02:00",9,12.6,24.34,25.55,24.3,25,24.74,24.36,26.21,25.3,24.62,25.83,26.79,24.69,24.86
"2024-02-08 15:03:00",10,12.6,24.43,26.16,24.41,25.19,24.84,24.47,27.19,25.55,24.84,27.06,27.48,24.99,25.01
"2024-02-08 15:04:00",11,12.6,25.94,25.24,24.82,25.5,24.94,25.39,25.42,25.8,24.81,25.21,25.92,24.79,24.8
"2024-02-08 15:05:00",12,12.6,24.68,26.17,24.58,25.73,25.06,24.71,27.44,26.1,25.1,26.9,28.06,25.1,25.18
"2024-02-08 15:06:00",13,12.6,24.78,26.18,24.73,25.95,25.17,24.82,27.31,26.31,25.17,26.59,28.05,25.13,25.16
"2024-02-08 15:07:00",14,12.6,24.85,25.31,24.75,26.13,25.17,24.91,25.82,26.48,25.07,25.42,26.64,25.03,24.93
"2024-02-08 15:08:00",15,12.6,24.93,26.03,24.85,26.42,25.64,24.95,27.97,26.9,26.15,27.72,29.06,25.61,25.66
"2024-02-08 15:09:00",16,12.6,24.78,26.23,24.7,25.89,25.21,24.8,27.86,27.35,25.83,26.92,28.66,25.45,25.46
"2024-02-08 15:10:00",17,12.6,24.75,25.45,24.56,25.51,25.09,24.7,27.3,25.78,25.61,27.47,29.32,25.82,25.7
"2024-02-08 15:11:00",18,12.6,24.57,25.5,24.48,25.25,25.14,24.59,28.12,25.8,25.85,27.46,29.27,24.96,25.55
"2024-02-08 15:12:00",19,12.6,24.48,25.51,24.4,25.03,25.09,24.52,27.13,25.67,25.51,27.39,28.56,24.75,25.34
"2024-02-08 15:13:00",20,12.6,24.5,25.17,24.39,25,24.97,24.57,27.44,25.38,25.8,26.92,29.91,24.7,25.29
"2024-02-08 15:14:00",21,12.6,24.63,25.38,24.54,25.27,24.98,24.63,27.41,25.6,25.81,26.36,28.34,25.06,25.29
"2024-02-08 15:15:00",22,12.6,24.91,25.64,24.73,25.53,25.06,24.73,26.79,25.95,25.05,26.37,27.97,24.82,25.1
"2024-02-08 15:16:00",23,12.6,24.83,25.82,24.75,25.69,25.17,24.85,27.11,26.12,25.5,26.31,28.8,24.95,25.19
"2024-02-08 15:17:00",24,12.6,24.89,26,24.87,25.93,25.26,24.89,27.16,26.34,25.28,26.37,28.27,24.96,25.11
"2024-02-08 15:18:00",25,12.6,25.04,26.09,24.98,26.13,25.38,25.02,26.59,26.55,25.31,25.84,27.94,24.93,25.1
"2024-02-08 15:19:00",26,12.6,25.01,26.05,24.93,26.01,25.34,24.99,26.88,26.46,25.35,26.01,27.98,24.94,25.19
"2024-02-08 15:20:00",27,12.6,24.87,25.82,24.8,25.83,25.23,24.86,27.31,26.19,25.2,26.46,28.06,24.91,25.19
"2024-02-08 15:21:00",28,12.6,24.74,25.79,24.72,27.17,25.36,25.35,27.48,28.14,26.59,26.61,28.61,25.91,25.63
"2024-02-08 15:22:00",29,12.6,24.66,25.23,24.59,25.19,25.08,24.66,26.18,25.51,25.96,25.22,29.23,24.73,24.97
"2024-02-08 15:23:00",30,12.6,26.29,25.31,26.76,26.24,25.09,26.03,26.64,26.01,27.12,26.03,28.26,30.66,26.67
"2024-02-08 15:24:00",31,12.6,28.38,27.98,27.83,25.52,26.34,28.9,28.46,29.92,25.31,28.06,26.57,27.78,27.65
"2024-02-08 15:25:00",32,12.6,25.78,26.19,29.34,25.78,27.02,29.19,29.06,29.15,29.08,27.59,29.09,29.42,29.27
"2024-02-08 15:26:00",33,12.6,27.78,26.99,28.84,26.53,27.65,29.82,30.33,29.84,28.13,27.07,27.73,28.47,29.6
"2024-02-08 15:27:00",34,12.6,27.61,27.63,28.55,26.94,28.2,27.22,29.63,30.26,29.27,27.28,28.26,28.83,28.9
"2024-02-08 15:28:00",35,12.6,28.2,27.51,29.16,28.58,30.27,29.48,30.78,30.28,28.49,29.34,27.21,29.27,30.56
"2024-02-08 15:29:00",36,12.6,25.19,26.37,25.22,25.23,25.6,25.35,28.35,30.95,27.25,26.4,29.13,27.58,29.82
"2024-02-08 15:30:00",37,12.6,30.13,31.29,28.95,30.19,31.09,30.14,30.76,31.26,30.2,30.75,26.65,29.19,29.99
"2024-02-08 15:31:00",38,12.6,24.57,23.91,25.23,24.97,24.89,25.04,24.61,24.4,25,24.73,25.16,25.05,24.66
"2024-02-08 15:32:00",39,12.6,24.42,23.82,25.02,24.8,24.68,24.83,24.46,24.26,24.82,24.48,24.88,24.8,24.48
"2024-02-08 15:33:00",40,12.6,24.21,23.68,24.81,24.77,24.6,24.65,24.34,24.07,24.68,24.33,24.94,24.6,24.19
"2024-02-08 15:34:00",41,12.6,24.11,23.63,24.76,24.51,24.42,24.65,24.17,24.03,24.57,24.16,24.87,24.6,24.21
"2024-02-08 15:35:00",42,12.6,24.28,23.69,24.88,24.68,24.51,24.74,24.29,24.13,24.69,24.39,24.97,24.67,24.32
"2024-02-08 15:36:00",43,12.6,24.43,23.8,25,24.83,25.45,24.89,24.41,24.28,24.72,24.48,25.04,24.84,24.44
"2024-02-08 15:37:00",44,12.6,24.56,23.94,25.11,24.96,24.77,24.96,24.62,24.44,24.97,24.75,25.19,24.95,24.61
"2024-02-08 15:38:00",45,12.6,24.71,24.03,25.21,25.02,24.89,25.05,24.73,24.54,25.98,27.51,28.32,27.72,28.24
"2024-02-08 15:39:00",46,12.6,25.24,24.64,25.4,25.27,25.83,28.28,28.66,29.44,26.9,25.19,25.43,25.2,24.9
"2024-02-08 15:40:00",47,12.6,24.84,24.19,25.39,25.28,25.13,25.2,24.89,24.64,25.32,25.05,25.41,25.23,24.82
"2024-02-08 15:41:00",48,12.6,24.67,23.98,25.19,25.09,24.85,25,24.72,24.4,25.12,24.72,25.28,25.06,24.71
"2024-02-08 15:42:00",49,12.6,24.49,23.86,25.1,24.86,24.71,24.86,24.45,24.32,24.87,24.59,25.14,24.98,24.48
"2024-02-08 15:43:00",50,12.6,24.3,23.72,24.88,24.7,24.53,24.74,24.29,24.18,24.87,24.42,25.01,24.73,24.3
"2024-02-08 15:44:00",51,12.6,24.15,23.58,24.73,24.58,24.43,24.67,24.09,24.02,24.65,24.23,24.87,24.59,24.17
"2024-02-08 15:45:00",52,12.6,24.26,23.7,24.81,24.56,24.45,24.67,24.21,24.2,24.61,24.41,24.81,24.74,24.37
"2024-02-08 15:46:00",53,12.6,24.43,23.83,25.01,24.74,24.64,24.86,24.42,24.31,24.74,24.58,25,24.88,24.47
"2024-02-08 15:47:00",54,12.6,24.58,23.92,25.12,24.94,24.75,24.98,24.6,24.41,25,24.7,25.13,24.96,24.66
